mode,method,ratio,direction,clip_spec,raw_tpr_at_1_fpr,clipped_tpr_at_1_fpr,raw_tpr_at_5_fpr,clipped_tpr_at_5_fpr,n_test_human,n_test_llm
tail,rank,0.4,-1,"{""lower"": -72.14999999999986}",0.05,0.06,0.07,0.21,100,100
tail,rank,0.5,-1,"{""lower"": -72.14999999999986}",0.03,0.04,0.03,0.11,100,100
tail,log_rank,0.0,-1,"{""lower"": -5.533389568328857}",1.0,1.0,1.0,1.0,100,100
tail,log_rank,0.05,-1,"{""lower"": -5.533389568328857}",0.7,0.72,0.93,0.93,100,100
tail,log_rank,0.1,-1,"{""lower"": -5.533389568328857}",0.69,0.71,0.93,0.93,100,100
tail,log_rank,0.2,-1,"{""lower"": -5.533389568328857}",0.4,0.44,0.76,0.81,100,100
tail,log_rank,0.3,-1,"{""lower"": -5.533389568328857}",0.15,0.16,0.35,0.4,100,100
tail,log_rank,0.4,-1,"{""lower"": -5.533389568328857}",0.04,0.06,0.15,0.17,100,100
tail,log_rank,0.5,-1,"{""lower"": -5.533389568328857}",0.03,0.03,0.1,0.1,100,100
tail,entropy,0.0,-1,"{""lower"": -4.4836684465408325}",0.1,0.1,0.14,0.19,100,100
tail,entropy,0.05,-1,"{""lower"": -4.4836684465408325}",0.05,0.05,0.11,0.11,100,100
tail,entropy,0.1,-1,"{""lower"": -4.4836684465408325}",0.05,0.05,0.11,0.11,100,100
tail,entropy,0.2,-1,"{""lower"": -4.4836684465408325}",0.04,0.04,0.07,0.07,100,100
tail,entropy,0.3,-1,"{""lower"": -4.4836684465408325}",0.02,0.02,0.04,0.04,100,100
tail,entropy,0.4,-1,"{""lower"": -4.4836684465408325}",0.0,0.0,0.03,0.03,100,100
tail,entropy,0.5,-1,"{""lower"": -4.4836684465408325}",0.01,0.01,0.03,0.03,100,100
tail,entropy_gap,0.0,-1,"{""nll_upper"": 8.480424880981445}",0.97,0.97,0.97,0.97,100,100
tail,entropy_gap,0.05,-1,"{""nll_upper"": 8.480424880981445}",0.94,0.93,0.94,0.97,100,100
tail,entropy_gap,0.1,-1,"{""nll_upper"": 8.480424880981445}",0.94,0.93,0.94,0.97,100,100
